name,sku,basePrice,compareAtPrice,stockOnHand,categoryName,brandName,shortDescription,description,imageUrl
Denim Scarf Navy,GRS-0072,21,31,24,Accessories,Aysel Tekstil,Denim scarf in navy,Handcrafted denim scarf finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-scarf-navy-72-1/600/600|https://picsum.photos/seed/denim-scarf-navy-72-2/600/600|https://picsum.photos/seed/denim-scarf-navy-72-3/600/600
Canvas Loafers Burgundy,GRS-0073,34,,41,Footwear,Bursa Atelier,Canvas loafers in burgundy,Handcrafted canvas loafers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-loafers-burgundy-73-1/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-73-2/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-73-3/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-73-4/600/600
Silk Wallet Navy,GRS-0074,47,,58,Bags & leather goods,Anatolia Co.,Silk wallet in navy,Handcrafted silk wallet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-wallet-navy-74-1/600/600|https://picsum.photos/seed/silk-wallet-navy-74-2/600/600|https://picsum.photos/seed/silk-wallet-navy-74-3/600/600
Suede Shirt Burgundy,GRS-0075,60,85,75,Apparel & clothing,House label,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-75-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-75-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-75-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-75-4/600/600
Velvet Blanket Navy,GRS-0076,73,,92,Textiles & home,Aysel Tekstil,Velvet blanket in navy,Handcrafted velvet blanket finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-blanket-navy-76-1/600/600|https://picsum.photos/seed/velvet-blanket-navy-76-2/600/600|https://picsum.photos/seed/velvet-blanket-navy-76-3/600/600
Linen Hat Burgundy,GRS-0077,86,,109,Accessories,Bursa Atelier,Linen hat in burgundy,Handcrafted linen hat finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-hat-burgundy-77-1/600/600|https://picsum.photos/seed/linen-hat-burgundy-77-2/600/600|https://picsum.photos/seed/linen-hat-burgundy-77-3/600/600|https://picsum.photos/seed/linen-hat-burgundy-77-4/600/600
Leather Sandals Navy,GRS-0078,99,139,6,Footwear,Anatolia Co.,Leather sandals in navy,Handcrafted leather sandals finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-sandals-navy-78-1/600/600|https://picsum.photos/seed/leather-sandals-navy-78-2/600/600|https://picsum.photos/seed/leather-sandals-navy-78-3/600/600
Cashmere Backpack Burgundy,GRS-0079,112,,23,Bags & leather goods,House label,Cashmere backpack in burgundy,Handcrafted cashmere backpack finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-backpack-burgundy-79-1/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-79-2/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-79-3/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-79-4/600/600
Cotton Kaftan Navy,GRS-0080,125,,40,Apparel & clothing,Aysel Tekstil,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-80-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-80-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-80-3/600/600
Wool Throw Burgundy,GRS-0081,138,153,57,Textiles & home,Bursa Atelier,Wool throw in burgundy,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-throw-burgundy-81-1/600/600|https://picsum.photos/seed/wool-throw-burgundy-81-2/600/600|https://picsum.photos/seed/wool-throw-burgundy-81-3/600/600|https://picsum.photos/seed/wool-throw-burgundy-81-4/600/600
Denim Bracelet Navy,GRS-0082,151,,74,Accessories,Anatolia Co.,Denim bracelet in navy,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-bracelet-navy-82-1/600/600|https://picsum.photos/seed/denim-bracelet-navy-82-2/600/600|https://picsum.photos/seed/denim-bracelet-navy-82-3/600/600
Canvas Heels Burgundy,GRS-0083,164,,91,Footwear,House label,Canvas heels in burgundy,Handcrafted canvas heels finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-heels-burgundy-83-1/600/600|https://picsum.photos/seed/canvas-heels-burgundy-83-2/600/600|https://picsum.photos/seed/canvas-heels-burgundy-83-3/600/600|https://picsum.photos/seed/canvas-heels-burgundy-83-4/600/600
Silk Tote Navy,GRS-0084,177,207,108,Bags & leather goods,Aysel Tekstil,Silk tote in navy,Handcrafted silk tote finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-tote-navy-84-1/600/600|https://picsum.photos/seed/silk-tote-navy-84-2/600/600|https://picsum.photos/seed/silk-tote-navy-84-3/600/600
Suede Shirt Burgundy,GRS-0085,190,,5,Apparel & clothing,Bursa Atelier,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-85-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-85-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-85-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-85-4/600/600
Velvet Towel Navy,GRS-0086,17,,22,Textiles & home,Anatolia Co.,Velvet towel in navy,Handcrafted velvet towel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-towel-navy-86-1/600/600|https://picsum.photos/seed/velvet-towel-navy-86-2/600/600|https://picsum.photos/seed/velvet-towel-navy-86-3/600/600
Linen Sunglasses Burgundy,GRS-0087,30,75,39,Accessories,House label,Linen sunglasses in burgundy,Handcrafted linen sunglasses finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-sunglasses-burgundy-87-1/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-87-2/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-87-3/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-87-4/600/600
Leather Slippers Navy,GRS-0088,43,,56,Footwear,Aysel Tekstil,Leather slippers in navy,Handcrafted leather slippers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-slippers-navy-88-1/600/600|https://picsum.photos/seed/leather-slippers-navy-88-2/600/600|https://picsum.photos/seed/leather-slippers-navy-88-3/600/600
Cashmere Duffel Burgundy,GRS-0089,56,,73,Bags & leather goods,Bursa Atelier,Cashmere duffel in burgundy,Handcrafted cashmere duffel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-duffel-burgundy-89-1/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-89-2/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-89-3/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-89-4/600/600
Cotton Kaftan Navy,GRS-0090,69,89,90,Apparel & clothing,Anatolia Co.,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-90-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-90-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-90-3/600/600
Wool Table Runner Burgundy,GRS-0091,82,,107,Textiles & home,House label,Wool table runner in burgundy,Handcrafted wool table runner finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-table-runner-burgundy-91-1/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-91-2/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-91-3/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-91-4/600/600
Denim Belt Navy,GRS-0092,95,,4,Accessories,Aysel Tekstil,Denim belt in navy,Handcrafted denim belt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-belt-navy-92-1/600/600|https://picsum.photos/seed/denim-belt-navy-92-2/600/600|https://picsum.photos/seed/denim-belt-navy-92-3/600/600
Canvas Sneakers Burgundy,GRS-0093,108,143,21,Footwear,Bursa Atelier,Canvas sneakers in burgundy,Handcrafted canvas sneakers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-sneakers-burgundy-93-1/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-93-2/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-93-3/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-93-4/600/600
Silk Crossbody Bag Navy,GRS-0094,121,,38,Bags & leather goods,Anatolia Co.,Silk crossbody bag in navy,Handcrafted silk crossbody bag finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-crossbody-bag-navy-94-1/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-94-2/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-94-3/600/600
Suede Shirt Burgundy,GRS-0095,134,,55,Apparel & clothing,House label,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-95-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-95-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-95-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-95-4/600/600
Velvet Wrap Navy,GRS-0096,147,157,72,Textiles & home,Aysel Tekstil,Velvet wrap in navy,Handcrafted velvet wrap finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-wrap-navy-96-1/600/600|https://picsum.photos/seed/velvet-wrap-navy-96-2/600/600|https://picsum.photos/seed/velvet-wrap-navy-96-3/600/600
Linen Necklace Burgundy,GRS-0097,160,,89,Accessories,Bursa Atelier,Linen necklace in burgundy,Handcrafted linen necklace finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-necklace-burgundy-97-1/600/600|https://picsum.photos/seed/linen-necklace-burgundy-97-2/600/600|https://picsum.photos/seed/linen-necklace-burgundy-97-3/600/600|https://picsum.photos/seed/linen-necklace-burgundy-97-4/600/600
Leather Boots Navy,GRS-0098,173,,106,Footwear,Anatolia Co.,Leather boots in navy,Handcrafted leather boots finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-boots-navy-98-1/600/600|https://picsum.photos/seed/leather-boots-navy-98-2/600/600|https://picsum.photos/seed/leather-boots-navy-98-3/600/600
Cashmere Clutch Burgundy,GRS-0099,186,211,3,Bags & leather goods,House label,Cashmere clutch in burgundy,Handcrafted cashmere clutch finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-clutch-burgundy-99-1/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-99-2/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-99-3/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-99-4/600/600
Cotton Kaftan Navy,GRS-0100,199,,20,Apparel & clothing,Aysel Tekstil,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-100-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-100-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-100-3/600/600
Wool Bedsheet Burgundy,GRS-0101,26,,37,Textiles & home,Bursa Atelier,Wool bedsheet in burgundy,Handcrafted wool bedsheet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-bedsheet-burgundy-101-1/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-101-2/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-101-3/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-101-4/600/600
Denim Gloves Navy,GRS-0102,39,79,54,Accessories,Anatolia Co.,Denim gloves in navy,Handcrafted denim gloves finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-gloves-navy-102-1/600/600|https://picsum.photos/seed/denim-gloves-navy-102-2/600/600|https://picsum.photos/seed/denim-gloves-navy-102-3/600/600
Canvas Loafers Burgundy,GRS-0103,52,,71,Footwear,House label,Canvas loafers in burgundy,Handcrafted canvas loafers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-loafers-burgundy-103-1/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-103-2/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-103-3/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-103-4/600/600
Silk Wallet Navy,GRS-0104,65,,88,Bags & leather goods,Aysel Tekstil,Silk wallet in navy,Handcrafted silk wallet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-wallet-navy-104-1/600/600|https://picsum.photos/seed/silk-wallet-navy-104-2/600/600|https://picsum.photos/seed/silk-wallet-navy-104-3/600/600
Suede Shirt Burgundy,GRS-0105,78,93,105,Apparel & clothing,Bursa Atelier,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-105-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-105-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-105-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-105-4/600/600
Velvet Cushion Cover Navy,GRS-0106,91,,2,Textiles & home,Anatolia Co.,Velvet cushion cover in navy,Handcrafted velvet cushion cover finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-cushion-cover-navy-106-1/600/600|https://picsum.photos/seed/velvet-cushion-cover-navy-106-2/600/600|https://picsum.photos/seed/velvet-cushion-cover-navy-106-3/600/600
Linen Earrings Burgundy,GRS-0107,104,,19,Accessories,House label,Linen earrings in burgundy,Handcrafted linen earrings finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-earrings-burgundy-107-1/600/600|https://picsum.photos/seed/linen-earrings-burgundy-107-2/600/600|https://picsum.photos/seed/linen-earrings-burgundy-107-3/600/600|https://picsum.photos/seed/linen-earrings-burgundy-107-4/600/600
Leather Sandals Navy,GRS-0108,117,147,36,Footwear,Aysel Tekstil,Leather sandals in navy,Handcrafted leather sandals finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-sandals-navy-108-1/600/600|https://picsum.photos/seed/leather-sandals-navy-108-2/600/600|https://picsum.photos/seed/leather-sandals-navy-108-3/600/600
Cashmere Backpack Burgundy,GRS-0109,130,,53,Bags & leather goods,Bursa Atelier,Cashmere backpack in burgundy,Handcrafted cashmere backpack finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-backpack-burgundy-109-1/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-109-2/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-109-3/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-109-4/600/600
Cotton Kaftan Navy,GRS-0110,143,,70,Apparel & clothing,Anatolia Co.,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-110-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-110-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-110-3/600/600
Wool Curtain Burgundy,GRS-0111,156,201,87,Textiles & home,House label,Wool curtain in burgundy,Handcrafted wool curtain finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-curtain-burgundy-111-1/600/600|https://picsum.photos/seed/wool-curtain-burgundy-111-2/600/600|https://picsum.photos/seed/wool-curtain-burgundy-111-3/600/600|https://picsum.photos/seed/wool-curtain-burgundy-111-4/600/600
Denim Scarf Navy,GRS-0112,169,,104,Accessories,Aysel Tekstil,Denim scarf in navy,Handcrafted denim scarf finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-scarf-navy-112-1/600/600|https://picsum.photos/seed/denim-scarf-navy-112-2/600/600|https://picsum.photos/seed/denim-scarf-navy-112-3/600/600
Canvas Heels Burgundy,GRS-0113,182,,1,Footwear,Bursa Atelier,Canvas heels in burgundy,Handcrafted canvas heels finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-heels-burgundy-113-1/600/600|https://picsum.photos/seed/canvas-heels-burgundy-113-2/600/600|https://picsum.photos/seed/canvas-heels-burgundy-113-3/600/600|https://picsum.photos/seed/canvas-heels-burgundy-113-4/600/600
Silk Tote Navy,GRS-0114,195,215,18,Bags & leather goods,Anatolia Co.,Silk tote in navy,Handcrafted silk tote finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-tote-navy-114-1/600/600|https://picsum.photos/seed/silk-tote-navy-114-2/600/600|https://picsum.photos/seed/silk-tote-navy-114-3/600/600
Suede Shirt Burgundy,GRS-0115,22,,35,Apparel & clothing,House label,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-115-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-115-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-115-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-115-4/600/600
Velvet Blanket Navy,GRS-0116,35,,52,Textiles & home,Aysel Tekstil,Velvet blanket in navy,Handcrafted velvet blanket finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-blanket-navy-116-1/600/600|https://picsum.photos/seed/velvet-blanket-navy-116-2/600/600|https://picsum.photos/seed/velvet-blanket-navy-116-3/600/600
Linen Hat Burgundy,GRS-0117,48,83,69,Accessories,Bursa Atelier,Linen hat in burgundy,Handcrafted linen hat finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-hat-burgundy-117-1/600/600|https://picsum.photos/seed/linen-hat-burgundy-117-2/600/600|https://picsum.photos/seed/linen-hat-burgundy-117-3/600/600|https://picsum.photos/seed/linen-hat-burgundy-117-4/600/600
Leather Slippers Navy,GRS-0118,61,,86,Footwear,Anatolia Co.,Leather slippers in navy,Handcrafted leather slippers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-slippers-navy-118-1/600/600|https://picsum.photos/seed/leather-slippers-navy-118-2/600/600|https://picsum.photos/seed/leather-slippers-navy-118-3/600/600
Cashmere Duffel Burgundy,GRS-0119,74,,103,Bags & leather goods,House label,Cashmere duffel in burgundy,Handcrafted cashmere duffel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-duffel-burgundy-119-1/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-119-2/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-119-3/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-119-4/600/600
Cotton Kaftan Navy,GRS-0120,87,97,0,Apparel & clothing,Aysel Tekstil,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-120-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-120-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-120-3/600/600
Wool Throw Burgundy,GRS-0121,100,,17,Textiles & home,Bursa Atelier,Wool throw in burgundy,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-throw-burgundy-121-1/600/600|https://picsum.photos/seed/wool-throw-burgundy-121-2/600/600|https://picsum.photos/seed/wool-throw-burgundy-121-3/600/600|https://picsum.photos/seed/wool-throw-burgundy-121-4/600/600
Denim Bracelet Navy,GRS-0122,113,,34,Accessories,Anatolia Co.,Denim bracelet in navy,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-bracelet-navy-122-1/600/600|https://picsum.photos/seed/denim-bracelet-navy-122-2/600/600|https://picsum.photos/seed/denim-bracelet-navy-122-3/600/600
Canvas Sneakers Burgundy,GRS-0123,126,151,51,Footwear,House label,Canvas sneakers in burgundy,Handcrafted canvas sneakers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-sneakers-burgundy-123-1/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-123-2/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-123-3/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-123-4/600/600
Silk Crossbody Bag Navy,GRS-0124,139,,68,Bags & leather goods,Aysel Tekstil,Silk crossbody bag in navy,Handcrafted silk crossbody bag finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-crossbody-bag-navy-124-1/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-124-2/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-124-3/600/600
Suede Shirt Burgundy,GRS-0125,152,,85,Apparel & clothing,Bursa Atelier,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-125-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-125-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-125-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-125-4/600/600
Velvet Towel Navy,GRS-0126,165,205,102,Textiles & home,Anatolia Co.,Velvet towel in navy,Handcrafted velvet towel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-towel-navy-126-1/600/600|https://picsum.photos/seed/velvet-towel-navy-126-2/600/600|https://picsum.photos/seed/velvet-towel-navy-126-3/600/600
Linen Sunglasses Burgundy,GRS-0127,178,,119,Accessories,House label,Linen sunglasses in burgundy,Handcrafted linen sunglasses finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-sunglasses-burgundy-127-1/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-127-2/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-127-3/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-127-4/600/600
Leather Boots Navy,GRS-0128,191,,16,Footwear,Aysel Tekstil,Leather boots in navy,Handcrafted leather boots finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-boots-navy-128-1/600/600|https://picsum.photos/seed/leather-boots-navy-128-2/600/600|https://picsum.photos/seed/leather-boots-navy-128-3/600/600
Cashmere Clutch Burgundy,GRS-0129,18,33,33,Bags & leather goods,Bursa Atelier,Cashmere clutch in burgundy,Handcrafted cashmere clutch finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-clutch-burgundy-129-1/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-129-2/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-129-3/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-129-4/600/600
Cotton Kaftan Navy,GRS-0130,31,,50,Apparel & clothing,Anatolia Co.,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-130-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-130-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-130-3/600/600
Wool Table Runner Burgundy,GRS-0131,44,,67,Textiles & home,House label,Wool table runner in burgundy,Handcrafted wool table runner finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-table-runner-burgundy-131-1/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-131-2/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-131-3/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-131-4/600/600
Denim Belt Navy,GRS-0132,57,87,84,Accessories,Aysel Tekstil,Denim belt in navy,Handcrafted denim belt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-belt-navy-132-1/600/600|https://picsum.photos/seed/denim-belt-navy-132-2/600/600|https://picsum.photos/seed/denim-belt-navy-132-3/600/600
Canvas Loafers Burgundy,GRS-0133,70,,101,Footwear,Bursa Atelier,Canvas loafers in burgundy,Handcrafted canvas loafers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-loafers-burgundy-133-1/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-133-2/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-133-3/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-133-4/600/600
Silk Wallet Navy,GRS-0134,83,,118,Bags & leather goods,Anatolia Co.,Silk wallet in navy,Handcrafted silk wallet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-wallet-navy-134-1/600/600|https://picsum.photos/seed/silk-wallet-navy-134-2/600/600|https://picsum.photos/seed/silk-wallet-navy-134-3/600/600
Suede Shirt Burgundy,GRS-0135,96,141,15,Apparel & clothing,House label,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-135-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-135-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-135-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-135-4/600/600
Velvet Wrap Navy,GRS-0136,109,,32,Textiles & home,Aysel Tekstil,Velvet wrap in navy,Handcrafted velvet wrap finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-wrap-navy-136-1/600/600|https://picsum.photos/seed/velvet-wrap-navy-136-2/600/600|https://picsum.photos/seed/velvet-wrap-navy-136-3/600/600
Linen Necklace Burgundy,GRS-0137,122,,49,Accessories,Bursa Atelier,Linen necklace in burgundy,Handcrafted linen necklace finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-necklace-burgundy-137-1/600/600|https://picsum.photos/seed/linen-necklace-burgundy-137-2/600/600|https://picsum.photos/seed/linen-necklace-burgundy-137-3/600/600|https://picsum.photos/seed/linen-necklace-burgundy-137-4/600/600
Leather Sandals Navy,GRS-0138,135,155,66,Footwear,Anatolia Co.,Leather sandals in navy,Handcrafted leather sandals finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-sandals-navy-138-1/600/600|https://picsum.photos/seed/leather-sandals-navy-138-2/600/600|https://picsum.photos/seed/leather-sandals-navy-138-3/600/600
Cashmere Backpack Burgundy,GRS-0139,148,,83,Bags & leather goods,House label,Cashmere backpack in burgundy,Handcrafted cashmere backpack finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-backpack-burgundy-139-1/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-139-2/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-139-3/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-139-4/600/600
Cotton Kaftan Navy,GRS-0140,161,,100,Apparel & clothing,Aysel Tekstil,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-140-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-140-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-140-3/600/600
Wool Bedsheet Burgundy,GRS-0141,174,209,117,Textiles & home,Bursa Atelier,Wool bedsheet in burgundy,Handcrafted wool bedsheet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-bedsheet-burgundy-141-1/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-141-2/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-141-3/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-141-4/600/600
Denim Gloves Navy,GRS-0142,187,,14,Accessories,Anatolia Co.,Denim gloves in navy,Handcrafted denim gloves finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-gloves-navy-142-1/600/600|https://picsum.photos/seed/denim-gloves-navy-142-2/600/600|https://picsum.photos/seed/denim-gloves-navy-142-3/600/600
Canvas Heels Burgundy,GRS-0143,200,,31,Footwear,House label,Canvas heels in burgundy,Handcrafted canvas heels finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-heels-burgundy-143-1/600/600|https://picsum.photos/seed/canvas-heels-burgundy-143-2/600/600|https://picsum.photos/seed/canvas-heels-burgundy-143-3/600/600|https://picsum.photos/seed/canvas-heels-burgundy-143-4/600/600
